name,uri
oxygen requirement,http://aims.fao.org/aos/agrovoc/c_26804
organic matter,http://aims.fao.org/aos/agrovoc/c_5387
ornamental plants,http://aims.fao.org/aos/agrovoc/c_5417
ocean-ice-atmosphere system,http://aims.fao.org/aos/agrovoc/c_522d95d3
marine sciences,http://aims.fao.org/aos/agrovoc/c_4613
omnivores,http://aims.fao.org/aos/agrovoc/c_5348
oocysts,http://aims.fao.org/aos/agrovoc/c_4e9e2bc4
costs,http://aims.fao.org/aos/agrovoc/c_1922
sewage ponds,http://aims.fao.org/aos/agrovoc/c_676e9568
ocean-atmosphere system,http://aims.fao.org/aos/agrovoc/c_3e42eec7
submarine ridges,http://aims.fao.org/aos/agrovoc/c_940f07cc
organism aggregations,http://aims.fao.org/aos/agrovoc/c_7187852e
oscillatory flow,http://aims.fao.org/aos/agrovoc/c_10c3ddeb
oil pollution,http://aims.fao.org/aos/agrovoc/c_d11624c5
oil wastes,http://aims.fao.org/aos/agrovoc/c_ee1e34b3
oocytes,http://aims.fao.org/aos/agrovoc/c_55c1fd21
ornamental fishes,http://aims.fao.org/aos/agrovoc/c_5413
oxidative stress,http://aims.fao.org/aos/agrovoc/c_37481
glucosamine,http://aims.fao.org/aos/agrovoc/c_11179
oceanographers,http://aims.fao.org/aos/agrovoc/c_5299
oil tanks,http://aims.fao.org/aos/agrovoc/c_21d469d9
oligotrophic lakes,http://aims.fao.org/aos/agrovoc/c_8d3b72a3
osteonecrosis,http://aims.fao.org/aos/agrovoc/c_1c3ba222
organic fertilizers,http://aims.fao.org/aos/agrovoc/c_4592
Ordovician,http://aims.fao.org/aos/agrovoc/c_1535814e
oceanographic stations,http://aims.fao.org/aos/agrovoc/c_0f71fbf0
bottom topography,http://aims.fao.org/aos/agrovoc/c_4e2914b1
oceanographic institutions,http://aims.fao.org/aos/agrovoc/c_da4502d0
oil-gas interface,http://aims.fao.org/aos/agrovoc/c_65192f06
provenance,http://aims.fao.org/aos/agrovoc/c_16022
overwash,http://aims.fao.org/aos/agrovoc/c_3a9711f7
oil-water interface,http://aims.fao.org/aos/agrovoc/c_728a82fb
osmotic pressure,http://aims.fao.org/aos/agrovoc/c_5443
organic aquaculture,http://aims.fao.org/aos/agrovoc/c_ff442c2e
seals (stoppers),http://aims.fao.org/aos/agrovoc/c_94b5516c
operating costs,http://aims.fao.org/aos/agrovoc/c_28737
ozone,http://aims.fao.org/aos/agrovoc/c_5485
optical instruments,http://aims.fao.org/aos/agrovoc/c_63668d64
off-bottom culture,http://aims.fao.org/aos/agrovoc/c_2dc42f49
observation,http://aims.fao.org/aos/agrovoc/c_fc54b25b
olfaction,http://aims.fao.org/aos/agrovoc/c_24943
ocean governance,http://aims.fao.org/aos/agrovoc/c_44209079
cephalopod fisheries,http://aims.fao.org/aos/agrovoc/c_a4d7a7f0
oceanic province,http://aims.fao.org/aos/agrovoc/c_b49d7f22
octopus culture,http://aims.fao.org/aos/agrovoc/c_b20d7e49
marine environment,http://aims.fao.org/aos/agrovoc/c_4610
ocean circulation,http://aims.fao.org/aos/agrovoc/c_7bad5999
ocean stations,http://aims.fao.org/aos/agrovoc/c_2616000b
ova,http://aims.fao.org/aos/agrovoc/c_5454
oil in water content,http://aims.fao.org/aos/agrovoc/c_9400dd85
oxygen isotope dating,http://aims.fao.org/aos/agrovoc/c_03fd0555
obituaries,http://aims.fao.org/aos/agrovoc/c_12881
orogeny,http://aims.fao.org/aos/agrovoc/c_660dc2aa
weather ships,http://aims.fao.org/aos/agrovoc/c_8342
offshore structures,http://aims.fao.org/aos/agrovoc/c_92342
oil and gas production,http://aims.fao.org/aos/agrovoc/c_211dab62
oyster culture,http://aims.fao.org/aos/agrovoc/c_5483
underwater gliders,http://aims.fao.org/aos/agrovoc/c_bb5642ab
Oligocene,http://aims.fao.org/aos/agrovoc/c_24427f10
oil fields,http://aims.fao.org/aos/agrovoc/c_d7a28d0a
orthoclase,http://aims.fao.org/aos/agrovoc/c_57a66c14
ornithology,http://aims.fao.org/aos/agrovoc/c_49861
offshore engineering,http://aims.fao.org/aos/agrovoc/c_093d240f
organic salts,http://aims.fao.org/aos/agrovoc/c_5382
occupational health,http://aims.fao.org/aos/agrovoc/c_35236
floating barriers,http://aims.fao.org/aos/agrovoc/c_112d4d36
gastropod fisheries,http://aims.fao.org/aos/agrovoc/c_3dfb70b0
osmium,http://aims.fao.org/aos/agrovoc/c_9d49077b
cytoplasmic organelles,http://aims.fao.org/aos/agrovoc/c_2095
oxidoreductions,http://aims.fao.org/aos/agrovoc/c_27587
processing,http://aims.fao.org/aos/agrovoc/c_6195
oil water separation,http://aims.fao.org/aos/agrovoc/c_df7cd870
optical fibres,http://aims.fao.org/aos/agrovoc/c_6f29a950
