name,uri
drainage water,http://aims.fao.org/aos/agrovoc/c_2374
diadromous fishes,http://aims.fao.org/aos/agrovoc/c_2237
depth,http://aims.fao.org/aos/agrovoc/c_2190
diving hazards,http://aims.fao.org/aos/agrovoc/c_03281b5e
data buoys,http://aims.fao.org/aos/agrovoc/c_bf870a8e
diving industry,http://aims.fao.org/aos/agrovoc/c_ea831380
dystrophic lakes,http://aims.fao.org/aos/agrovoc/c_38c8f242
diseases,http://aims.fao.org/aos/agrovoc/c_49879
dynamic height anomaly,http://aims.fao.org/aos/agrovoc/c_54fd7d54
water density,http://aims.fao.org/aos/agrovoc/c_5bab82a8
deterioration,http://aims.fao.org/aos/agrovoc/c_10350
bottom trawls,http://aims.fao.org/aos/agrovoc/c_c24c228b
diving regulations,http://aims.fao.org/aos/agrovoc/c_50249fd9
heavy water,http://aims.fao.org/aos/agrovoc/c_abb97223
drought,http://aims.fao.org/aos/agrovoc/c_2391
river basins,http://aims.fao.org/aos/agrovoc/c_f6fc00b1
densitometers,http://aims.fao.org/aos/agrovoc/c_ed5c1b13
depth measurement,http://aims.fao.org/aos/agrovoc/c_07da14ba
data processing,http://aims.fao.org/aos/agrovoc/c_10289
divers,http://aims.fao.org/aos/agrovoc/c_c9686b58
dynamics,http://aims.fao.org/aos/agrovoc/c_330860
DNA libraries,http://aims.fao.org/aos/agrovoc/c_8cbdc1d5
hazardous materials,http://aims.fao.org/aos/agrovoc/c_1507e10c
drought resistance,http://aims.fao.org/aos/agrovoc/c_2392
deconvolution,http://aims.fao.org/aos/agrovoc/c_76aa325b
defaecation,http://aims.fao.org/aos/agrovoc/c_2153
dolomite,http://aims.fao.org/aos/agrovoc/c_29215
dieldrin,http://aims.fao.org/aos/agrovoc/c_16178
Doppler effect,http://aims.fao.org/aos/agrovoc/c_5b857c3d
dimensionless numbers,http://aims.fao.org/aos/agrovoc/c_b7dc7c5d
directories,http://aims.fao.org/aos/agrovoc/c_af2492bb
diving physiology,http://aims.fao.org/aos/agrovoc/c_605aaf52
freezing,http://aims.fao.org/aos/agrovoc/c_3091
discontinuity layers,http://aims.fao.org/aos/agrovoc/c_512f9c17
density charts,http://aims.fao.org/aos/agrovoc/c_ec5df3f2
radiosondes,http://aims.fao.org/aos/agrovoc/c_ba36b1b4
disasters,http://aims.fao.org/aos/agrovoc/c_5082
digestibility,http://aims.fao.org/aos/agrovoc/c_2266
diurnal tides,http://aims.fao.org/aos/agrovoc/c_ca5a2b6f
pest control,http://aims.fao.org/aos/agrovoc/c_5726
deuterium,http://aims.fao.org/aos/agrovoc/c_33476
domestic animals,http://aims.fao.org/aos/agrovoc/c_2356
dynamic models,http://aims.fao.org/aos/agrovoc/c_28670
domes,http://aims.fao.org/aos/agrovoc/c_0651fdf0
distance education,http://aims.fao.org/aos/agrovoc/c_37869
dredgers,http://aims.fao.org/aos/agrovoc/c_2376
fission products,http://aims.fao.org/aos/agrovoc/c_e28c1f14
legislation,http://aims.fao.org/aos/agrovoc/c_4253
glucose,http://aims.fao.org/aos/agrovoc/c_3287
arid zones,http://aims.fao.org/aos/agrovoc/c_613
unmanned aerial vehicles,http://aims.fao.org/aos/agrovoc/c_3eb20052
dry season,http://aims.fao.org/aos/agrovoc/c_2400
mortality,http://aims.fao.org/aos/agrovoc/c_4945
dispersants,http://aims.fao.org/aos/agrovoc/c_32426
dams,http://aims.fao.org/aos/agrovoc/c_2121
information retrieval,http://aims.fao.org/aos/agrovoc/c_3863
diving equipment,http://aims.fao.org/aos/agrovoc/c_dd264e72
disease transmission,http://aims.fao.org/aos/agrovoc/c_2329
diapirs,http://aims.fao.org/aos/agrovoc/c_aa9d8227
decompression sickness,http://aims.fao.org/aos/agrovoc/c_5b695022
developmental stages,http://aims.fao.org/aos/agrovoc/c_2230
drag coefficient,http://aims.fao.org/aos/agrovoc/c_39d4557f
dredged samples,http://aims.fao.org/aos/agrovoc/c_9627a254
data analysis,http://aims.fao.org/aos/agrovoc/c_15962
deck equipment,http://aims.fao.org/aos/agrovoc/c_2148
